Ministries/Departments,Heads of Expenditure,Detailed Heads of Expenditure,Actual 2019-2020,Budget 2020-2021,Revised 2020-2021,Budget 2021-2022
Andaman and Nicobar Islands,Secretariat,Secretariat - Net,66.33,65.74,63.30,64.88
Andaman and Nicobar Islands,Other Establishment,Other Establishment,2254.46,2345.46,2202.15,2287.01
Andaman and Nicobar Islands,Schemes of UT,Welfare of Tribal and Other Backward Classes,0.72,0.76,0.58,0.62
Andaman and Nicobar Islands,Schemes of UT,Disaster Management,2.48,19.63,9.90,21.19
Andaman and Nicobar Islands,Schemes of UT,Agriculture and Allied Activities,18.15,23.53,21.46,32.78
Andaman and Nicobar Islands,Schemes of UT,Water Supply and Sanitation,72.06,62.51,62.83,108.47
Andaman and Nicobar Islands,Schemes of UT,Rural Development,80.38,83.90,66.55,79.37
Andaman and Nicobar Islands,Schemes of UT,Power,629.21,546.90,604.28,541.03
Andaman and Nicobar Islands,Schemes of UT,Forestry and Wildlife,29.69,30.63,28.45,29.55
Andaman and Nicobar Islands,Schemes of UT,Civil Supplies,24.33,20.17,19.42,22.66
Andaman and Nicobar Islands,Schemes of UT,Medical and Public Health,103.26,111.81,125.38,125.20
Andaman and Nicobar Islands,Schemes of UT,"Education, Sports, Arts and Culture",77.54,70.02,63.15,73.48
Andaman and Nicobar Islands,Schemes of UT,Social Welfare,85.95,92.03,84.61,91.81
Andaman and Nicobar Islands,Schemes of UT,Village and Small Industries,4.64,7.77,5.30,5.58
Andaman and Nicobar Islands,Schemes of UT,Information and Publicity,3.54,2.38,2.75,2.63
Andaman and Nicobar Islands,Schemes of UT,Labour and Employment,5.50,2.30,3.10,4.28
Andaman and Nicobar Islands,Schemes of UT,Road Transport,34.69,28.55,30.60,31.31
Andaman and Nicobar Islands,Schemes of UT,Roads and Bridges,176.99,187.20,128.71,175.50
Andaman and Nicobar Islands,Schemes of UT,Port and Light Houses,110.57,106.69,80.24,117.47
Andaman and Nicobar Islands,Schemes of UT,Shipping,566.23,580.30,478.25,627.60
Andaman and Nicobar Islands,Schemes of UT,Civil Aviation,87.15,75.01,83.13,86.10
Andaman and Nicobar Islands,Schemes of UT,Tourism,11.80,11.09,9.38,9.89
Andaman and Nicobar Islands,Schemes of UT,Public Works,64.03,58.36,57.95,60.16
Andaman and Nicobar Islands,Schemes of UT,Housing,31.52,26.60,26.60,28.65
Andaman and Nicobar Islands,Schemes of UT,Urban Development,166.47,245.77,262.02,274.29
Andaman and Nicobar Islands,Schemes of UT,Police and Fire Control,15.79,14.40,13.85,23.91
Andaman and Nicobar Islands,Schemes of UT,Hiring of Transponder,120.00,128.00,149.00,200.00
Andaman and Nicobar Islands,Schemes of UT,Other Social Security and Welfare Activities,0.29,0.87,0.85,0.92
Andaman and Nicobar Islands,UT's Supplement to Centrally Sponsored Schemes,UT's Supplement to Centrally Sponsored Schemes,29.60,19.82,21.58,22.33
Andaman and Nicobar Islands,Tribal Area Component,Tribal Area Component,127.45,260.09,170.73,231.90
Andaman and Nicobar Islands,Grantee / Other Bodies,SOVTECH,6.00,5.00,8.00,6.00
Andaman and Nicobar Islands,Grantee / Other Bodies,Other Grantee Bodies,0.45,0.91,0.80,0.76
Andaman and Nicobar Islands,Other Expenditure of UT,Other Expenditure of UT,...,0.03,...,0.03
Atomic Energy,Secretariat,Secretariat,60.10,66.00,65.52,69.25
Atomic Energy,Atomic Energy Regulatory Board,Atomic Energy Regulatory Board,73.60,84.77,75.79,89.74
Atomic Energy,Atomic Research Centres,Bhabha Atomic Research Centre-Gross,2544.67,2836.00,2376.09,2935.97
Atomic Energy,Atomic Research Centres,Bhabha Atomic Research Centre-Net,2499.15,2805.50,2345.59,2905.47
Atomic Energy,Atomic Research Centres,"Indira Gandhi Centre for Atomic Research, Kalpakkam",460.61,523.24,424.48,493.46
Atomic Energy,Atomic Research Centres,"Raja Ramana Centre for Advanced Technology, Indore",347.60,349.51,329.16,384.01
Atomic Energy,Atomic Research Centres,"Variable Energy Cyclotrone Centre, Kolkata",126.95,137.26,131.36,139.10
Atomic Energy,Atomic Research Centres,"Atomic Minerals Directorate for Exploration and Research, Hyderabad",314.04,341.80,294.89,329.19
Atomic Energy,Fuel Cycle Facility (Nuclear Regulatory Board),Fuel Cycle Facility (Nuclear Regulatory Board),638.07,586.80,472.69,653.17
Atomic Energy,Service Units,Service Units-Gross,413.17,459.63,413.83,462.05
Atomic Energy,Service Units,Service Units-Net,373.82,423.13,377.33,426.05
Atomic Energy,Board of Radiation and Isotope Technology (BRIT),Board of Radiation and Isotope Technology (BRIT),95.47,103.20,77.94,117.01
Atomic Energy,Management Services Group,Management Services Group,0.57,0.84,0.84,0.88
Atomic Energy,Nuclear Fuel Complex,Gross Budgetary Support,2657.72,2709.82,3409.82,2945.63
Atomic Energy,Nuclear Fuel Complex,Less Receipts,-1662.51,-2977.95,-2977.95,-3693.36
Atomic Energy,Nuclear Fuel Complex,Less Recoveries,-23.77,-25.00,-25.00,-25.00
Atomic Energy,Heavy Water Production Facility,Gross Budgetary Support,1319.21,1511.42,1119.33,1522.82
Atomic Energy,Heavy Water Production Facility,Less - Recovery,-1381.51,-1508.74,-1508.74,-1495.67
Atomic Energy,R and D Basic Science and Engineering,R and D Basic Science and Engineering,1128.42,1250.00,850.00,...
Atomic Energy,"R&D projects of Bhabha Atomic Research Centre
(BARC)","R&D projects of Bhabha Atomic Research Centre
(BARC)",...,...,...,1256.73
Atomic Energy,R and D for Fast Reactor Science and Technology,R and D for Fast Reactor Science and Technology,225.96,300.00,100.00,...
Atomic Energy,"R&D projects of Indira Gandhi Centre of Atomic
Research (IGCAR)","R&D projects of Indira Gandhi Centre of Atomic
Research (IGCAR)",...,...,...,300.00
Atomic Energy,"Advanced Technologies for Laser, Synchrotron and Accelerator","Advanced Technologies for Laser, Synchrotron and Accelerator",153.24,180.00,90.00,...
Atomic Energy,"R&D projects of Raja Ramanna Centre for Advanced
Technology (RRCAT)","R&D projects of Raja Ramanna Centre for Advanced
Technology (RRCAT)",...,...,...,180.00
Atomic Energy,R and D in Exploration and Mining,R and D in Exploration and Mining,142.94,150.00,90.00,...
Atomic Energy,"R&D projects of Atomic Minerals Directorate for
Exploration and Research (AMDER)","R & D projects of Atomic Minerals Directorate for
Exploration and Research (AMDER)",...,...,...,150.00
Atomic Energy,Grants to other Institutions,Grants to other Institutions,96.28,154.00,45.00,75.00
Atomic Energy,Backend Fuel Cycle Projects,Backend Fuel Cycle Projects,538.92,500.00,500.00,...
Atomic Energy,Fuel Recycle Projects (NRB),Fuel Recycle Projects (NRB),...,...,...,650.00
Atomic Energy,Housing Projects,Housing Projects,214.44,214.20,101.00,196.00
Atomic Energy,Heavy Water Board,Heavy Water Board,38.77,53.00,35.00,...
Atomic Energy,Improvement/Modifications of Heavy water projects,Improvement/Modifications of Heavy water projects,...,...,...,103.00
Atomic Energy,Feedstock,Gross Budgetary Support,1377.00,1243.76,900.00,1480.00
Atomic Energy,Feedstock,Less Recoveries,-7.65,-49.10,-49.10,-46.43
Atomic Energy,Heavy Water Pool Management,Gross Budgetary Support,1300.00,1300.00,1300.00,1450.00
Atomic Energy,Heavy Water Pool Management,Less Receipts,-1300.00,-1300.00,-1300.00,-1450.00
Atomic Energy,Radiation and Isotopes Project,Radiation and Isotopes Project,111.99,119.12,50.00,38.06
Atomic Energy,Nuclear Power Projects,Nuclear Power Projects,94.55,100.12,100.12,278.95
Atomic Energy,Nuclear Fuel Projects,Nuclear Fuel Projects,283.67,450.86,450.86,...
Atomic Energy,Nuclear Fuel Fabrication Projects,Nuclear Fuel Fabrication Projects,...,...,...,540.00
Atomic Energy,Atomic Energy Regulatory Board Expansion Project,Atomic Energy Regulatory Board Expansion Project,25.27,49.38,15.00,43.08
Atomic Energy,Advanced Technology for Acclerator,Advanced Technology for Accelerator,57.33,80.00,30.00,...
Atomic Energy,"R&D projects of Variable Energy Cyclotron Centre
(VECC)","R&D projects of Variable Energy Cyclotron Centre
(VECC)",...,...,...,80.00
Atomic Energy,Research and Development Projects,Research and Development Projects,314.77,310.00,241.89,410.00
Atomic Energy,Industries and Material Projects,Industries and Material Projects,36.00,65.00,40.00,145.00
Atomic Energy,Fuel Cycle Projects (Fast Reactor Fuel Cycle Facility),Fuel Cycle Projects (Fast Reactor Fuel Cycle Facility),495.79,600.00,200.00,...
Atomic Energy,"Fast Reactor Fuel Cycle Projects (FRFCF)
Kalpakkam","Fast Reactor Fuel Cycle Projects (FRFCF)
Kalpakkam",...,...,...,600.00
Atomic Energy,Nuclear Fuel Inventory,Gross Budgetary Support,3317.50,3051.00,3051.00,2951.00
Atomic Energy,Nuclear Fuel Inventory,Less Receipts,-615.09,-2534.97,-2534.97,-2753.55
Atomic Energy,Other Autonomous Bodies,Other Autonomous Bodies,2751.92,2833.97,2537.49,3006.30
Atomic Energy,Nuclear Power Corporation of India Limited (NPCIL),Nuclear Power Corporation of India Limited (NPCIL),3000.00,3737.00,2600.00,3560.00
Atomic Energy,Uranium Corporation of India Limited,Uranium Corporation of India Limited,15.00,50.00,20.00,50.00
Atomic Energy,Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI),Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI),80.00,150.00,150.00,70.00
Atomic Energy,Contribution to International Atomic Energy Agency,Contribution to International Atomic Energy Agency,28.55,40.00,48.62,40.00
Atomic Energy,Power,Power,2804.81,628.95,612.92,331.78
Atomic Energy,Industries,Industries,2380.72,1215.71,1535.57,804.65
Atomic Energy,Atomic Energy Research,Atomic Energy Research,6483.57,6973.78,6098.61,7183.44
Atomic Energy,Secretariat-Economic Services,Secretariat-Economic Services,60.10,66.00,65.52,69.25
Atomic Energy,Capital Outlay on Power Projects,Capital Outlay on Power Projects,590.52,609.10,599.39,718.93
Atomic Energy,Capital Outlay on Atomic Energy Industries,Capital Outlay on Atomic Energy Industries,3028.01,3249.52,1942.86,4026.03
Atomic Energy,Capital Outlay on Atomic Energy Research,Capital Outlay on Atomic Energy Research,1956.96,2178.88,1250.09,2040.81
Atomic Energy,Loans for Power Projects,Loans for Power Projects,2500.00,3307.00,2170.00,3090.00
Cabinet,Secretariat assistance to Ex-Governors,Secretariat assistance to Ex-Governors,1.57,1.80,1.80,1.80
Cabinet,Council of Ministers,Council of Ministers,596.85,766.83,939.57,1160.94
Cabinet,Cabinet Secretariat,Cabinet Secretariat,56.05,61.75,56.05,62.25
Cabinet,National Security Council Secretariat,National Security Council Secretariat,130.32,170.73,130.00,228.72
Cabinet,Office of Principal Scientific Advisor,Office of Principal Scientific Advisor,53.43,78.62,56.00,580.72
Cabinet,Prime Minister's Office,Prime Minister's Office,44.73,55.05,53.80,58.05
Cabinet,Hospitality and Entertainment Expenses,Hospitality and Entertainment Expenses,5.31,5.60,4.00,5.56
Cabinet,"President, Vice President/Governor, Administrator of Union Territories","President, Vice President/Governor, Administrator of Union Territories",1.57,1.80,1.80,1.80
Cabinet,Council of Ministers,Council of Ministers,881.38,1132.98,1235.42,1953.68
Cabinet,Other Administrative Services,Other Administrative Services,2.44,5.60,4.00,5.56
Cabinet,Capital Outlay on Other Administrative Services,Capital Outlay on Other Administrative Services,...,...,...,137.00
Capital Outlay on Defence Services,Land-Army,Land-Army,35.94,291.00,291.00,291.00
Capital Outlay on Defence Services,Construction Works-Army,Construction Works-Army,5641.59,6061.67,6887.70,5572.00
Capital Outlay on Defence Services,Aircrafts and Aero engines-Army,Aircrafts and Aero engines-Army,4478.29,4000.00,3809.00,4223.80
Capital Outlay on Defence Services,Heavy and Medium Vehicles,Heavy and Medium Vehicles,840.09,1589.36,1319.32,2673.00
Capital Outlay on Defence Services,Other equipment-Army,Other equipment-Army,17863.15,20209.25,20650.29,23490.10
Capital Outlay on Defence Services,Rolling Stock,Rolling Stock,6.97,100.00,150.00,100.00
Capital Outlay on Defence Services,Rashtriya Rifles,Rashtriya Rifles,86.92,100.00,70.00,100.00
Capital Outlay on Defence Services,National Cadet Corps,National Cadet Corps,44.28,27.10,18.50,15.00
Capital Outlay on Defence Services,Ex-Servicemen Contributory Health Scheme,Ex-Servicemen Contributory Health Scheme,4.73,14.00,17.47,17.00
Capital Outlay on Defence Services,Military Farms,Military Farms,-1.08,...,...,...
Capital Outlay on Defence Services,Land-Navy,Land-Navy,4.40,16.49,13.00,17.00
Capital Outlay on Defence Services,Construction Works-Navy,Construction Works-Navy,1083.66,1052.00,1052.00,1002.00
Capital Outlay on Defence Services,Aircrafts and Aero engines,Aircrafts and Aero engines,1070.84,4640.00,8687.39,5511.20
Capital Outlay on Defence Services,Heavy and Medium Vehicles,Heavy and Medium Vehicles,18.82,30.00,30.00,30.00
Capital Outlay on Defence Services,Other equipment-Navy,Other equipment-Navy,4011.90,3000.00,5950.00,5500.00
Capital Outlay on Defence Services,Naval Fleet,Naval Fleet,16002.41,12746.00,17394.20,16000.00
Capital Outlay on Defence Services,Naval Dockyard/projects,Naval Dockyard/projects,4336.62,4182.00,3654.08,3989.82
Capital Outlay on Defence Services,Joint Staff,Joint Staff,918.03,1021.79,762.21,1203.53
Capital Outlay on Defence Services,Land-Air Force,Land-Air Force,14.49,150.00,132.95,511.27
Capital Outlay on Defence Services,Construction Works-Air Force,Construction Works-Air Force,2440.85,3100.00,2153.21,2407.84
Capital Outlay on Defence Services,Aircrafts and Aero engines-Air Force,Aircrafts and Aero engines-Air Force,23449.47,26909.88,29425.02,24268.20
Capital Outlay on Defence Services,Heavy and Medium Vehicles-Air Force,Heavy and Medium Vehicles-Air Force,109.63,120.00,80.08,120.00
Capital Outlay on Defence Services,Other equipment-Air Force,Other equipment-Air Force,18434.67,12001.03,22298.71,24481.43
Capital Outlay on Defence Services,Special Projects,Special Projects,606.90,1001.00,965.44,1426.03
Capital Outlay on Defence Services,Defence Ordnance Factories,Defence Ordnance Factories,834.22,756.50,630.00,665.00
Capital Outlay on Defence Services,Research and Development,Research and Development,8693.10,10532.87,7957.87,11375.50
Capital Outlay on Defence Services,Inspection - Director General Quality Audit (DGQA),Inspection - Director General Quality Audit (DGQA),13.32,12.06,12.06,20.00
Capital Outlay on Defence Services,Projects of the Army,Projects of the Army,...,70.00,70.00,50.00
Capital Outlay on Defence Services,Projects of the Air Force,Projects of the Air Force,48.22,...,28.50,...
Capital Outlay on Defence Services,Capital Outlay on Defence Services,Capital Outlay on Defence Services,111092.43,113734.00,134510.00,135060.72
Central Vigilance Commission,Central Vigilance Commission,Central Vigilance Commission,35.10,39.00,33.96,38.67
Central Vigilance Commission,Vigilance,Vigilance,35.10,39.00,33.96,38.67
Chandigarh,Secretariat,Secretariat,19.59,17.62,18.44,19.50
Chandigarh,Other Establishment,Other Establishment- Gross,2649.65,2782.94,2554.96,2781.03
Chandigarh,Other Establishment,Other Establishment- Net,2305.71,2457.94,2195.96,2391.53
Chandigarh,Schemes of UT,Police Housing and Allied works,43.11,53.30,62.96,87.02
Chandigarh,Schemes of UT,Development of Villages,...,...,...,...
Chandigarh,Schemes of UT,Power and Renewable Energy- Gross,879.66,879.61,797.96,838.56
Chandigarh,Schemes of UT,Power and Renewable Energy- Net,871.66,869.61,789.46,826.06
Chandigarh,Schemes of UT,"Forests, Wildlife, Ecology and Environment",28.75,34.23,30.39,34.47
Chandigarh,Schemes of UT,Health Services,56.01,67.19,55.94,67.25
Chandigarh,Schemes of UT,Education,49.76,69.73,56.11,82.78
Chandigarh,Schemes of UT,Welfare of Women and Children,25.54,24.60,24.98,25.12
Chandigarh,Schemes of UT,"Art, Culture and Museum",2.01,3.39,0.62,2.84
Chandigarh,Schemes of UT,Khadi and Village Industries,2.00,2.97,0.31,0.54
Chandigarh,Schemes of UT,Road and Transport,37.74,49.10,19.22,45.74
Chandigarh,Schemes of UT,Govt- Housing,32.11,23.38,19.23,20.58
Chandigarh,Schemes of UT,Urban Development- Gross,193.00,171.07,181.92,238.49
Chandigarh,Schemes of UT,Urban Development- Net,-133.10,11.07,61.92,118.49
Chandigarh,Schemes of UT,Welfare of Differently Abled and Aged,6.77,21.63,22.42,25.15
Chandigarh,Schemes of UT,Other Schemes,81.90,83.98,62.68,97.80
Chandigarh,UT's Supplement to Centrally Sponsored Schemes,UT's Supplement to Centrally Sponsored Schemes,7.72,17.00,10.00,15.00
Chandigarh,Grantee / Other Bodies,Grantee / Other Bodies,714.23,836.36,726.77,804.25
Dadra and Nagar Haveli and Daman and Diu,Secretariat - Dadra and Nagar Haveli,Secretariat - Dadra and Nagar Haveli,4.68,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Secretariat - Daman and Diu,Secretariat - Daman and Diu,56.56,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Secretariat - Dadra and Nagar Haveli and Daman and Diu,Secretariat - Dadra and Nagar Haveli and Daman and Diu,...,19.76,15.94,20.24
Dadra and Nagar Haveli and Daman and Diu,Other Establishment - Dadra and Nagar Haveli,Other Establishment - Dadra and Nagar Haveli,216.17,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Other Establishment - Daman and Diu,Other Establishment - Daman and Diu,301.21,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Other Establishment - Dadra and Nagar Haveli and Daman and Diu,Other Establishment - Dadra and Nagar Haveli and Daman and Diu,...,593.07,557.09,604.47
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Welfare of Scheduled Caste/Scheduled Tribes,0.03,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Relief on Account of Natural Calamities,1.17,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Police,5.88,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Agriculture and Allied Activities,2.61,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Power,28.03,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Forest and Wildlife,25.03,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Education,55.12,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Health,110.16,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Sports,9.80,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Tourism,9.09,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Urban Development- Gross,36.68,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Urban Development- Net,36.68,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Welfare of Widows/Destitute Women,0.02,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Village and Small Industries,2.72,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Roads and Bridges,31.27,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli,Differently Abled and Aged,0.51,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Police Welfare,317.96,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,"Welfare of SCs, STs, OBCs and Minorities",0.50,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Relief on account of Natural calamities,0.49,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Up-gradation of Fire Fighting Services,1.36,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Agriculture and Allied Activities,1.55,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Transmission and Distribution of Power,1341.97,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,"Forests, Wildlife, Ecology and Environment",1.69,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Public Distribution System,5.90,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Medical and Health,7.04,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Education,...,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Industrial Promotion,...,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Labour welfare,0.98,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Industrial Training Institutes,0.26,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Maintenance and repairs of Roads and Bridges,208.68,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Construction and Development of Ports and Light Houses,1.05,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Civil Aviation,13.17,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Maintenance and repairs of Tourist Infrastructures,51.36,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Public Works,32.67,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Water Supply and Sanitation,23.30,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Government Accommodation for General Pool,2.04,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Construction of Solid Waste Management facilities,15.04,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,Social Security,0.16,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Daman and Diu,New and Renewable Energy,2.90,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Police Welfare Schemes,...,8.16,3.51,7.41
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,"Schemes for SCs, STs, OBCs and Minorities",...,1.46,0.66,1.12
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Relief on Account of Natural Calamities,...,1.95,1.95,1.80
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Up-gradation of Fire Fighting Services,...,8.36,1.86,4.66
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Schemes for Agriculture and Allied Activities,...,11.62,3.92,14.21
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Transmission and Distribution of Power,...,1382.89,1377.20,1396.63
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,"Forests, Wildlife including Ecology and Environment",...,30.61,34.88,37.43
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Public Distribution System,...,8.00,6.50,6.50
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Schemes under Medical and Health,...,162.70,91.25,170.58
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Schemes under Education,...,124.22,75.03,139.78
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Schemes for industrial promotion,...,16.08,10.00,15.20
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Labour welfare,...,1.12,0.62,0.51
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Industrial Training Institutes,...,0.48,0.48,0.30
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Roads and Bridges,...,232.20,146.15,238.07
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Construction and Development of Ports and Light Houses,...,10.20,0.01,3.00
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Schemes related to Civil Aviation,...,59.62,21.10,50.01
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Scheme for Tourism,...,64.80,28.22,53.55
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Public Works- Gross,...,69.72,48.59,86.54
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Public Works- Net,...,69.12,47.99,85.94
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Water Supply and Sanitation,...,26.35,11.38,26.00
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Government Accommodation for General Pool,...,6.70,3.68,5.37
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Construction of Solid Waste Management facilities,...,0.16,0.01,0.10
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Welfare of Widows/Destitute Women,...,0.22,0.12,0.40
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Social Security Schemes,...,5.30,5.30,5.20
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Scheme for Development of Sport,...,9.90,0.30,8.00
Dadra and Nagar Haveli and Daman and Diu,Schemes of UT - Dadra and Nagar Haveli and Daman and Diu,Scheme for Differently Able and Aged,...,0.60,0.52,0.52
Dadra and Nagar Haveli and Daman and Diu,UTs Supplement to Centrally Sponsored Schemes - Daman and Diu,UTs Supplement to Centrally Sponsored Schemes - Daman and Diu,12.72,...,...,...
Dadra and Nagar Haveli and Daman and Diu,UTs Supplement to Centrally Sponsored Schemes - Dadra and Nagar Haveli and Daman and Diu,UTs Supplement to Centrally Sponsored Schemes - Dadra and Nagar Haveli and Daman and Diu,...,1.70,1.20,0.45
Dadra and Nagar Haveli and Daman and Diu,Tribal Area Component - Daman and Diu,Tribal Area Component - Daman and Diu,13.94,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Tribal Area Component - Dadra and Nagar Haveli and Daman and Diu,Tribal Area Component - Dadra and Nagar Haveli and Daman and Diu,...,23.98,2.84,21.10
Dadra and Nagar Haveli and Daman and Diu,Grantee / Other Bodies - Dadra and Nagar Haveli,Grants to Zilla Parishad/District Level Panchayats,1.00,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Grantee / Other Bodies - Dadra and Nagar Haveli,Grants to Silvassa Municipal Council,180.40,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Grantee / Other Bodies - Dadra and Nagar Haveli,Grant to other Autonomous and Grantee bodies,4.60,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Grantee / Other Bodies - Daman and Diu,Grants to District Panchayats and Village Panchayats of Daman and Diu,317.69,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Grantee / Other Bodies - Daman and Diu,Grants to Municipal Councils of Daman and Diu,20.19,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Grantee / Other Bodies - Daman and Diu,Other Grantee Bodies,20.69,...,...,...
